"Id"	"Ethnicity"	"Gender"	"Age"	"Occupation"	"Education"	"L1"	"File"	"Speaker"	"Words"	"Words"	"Date"	"Topic"	"ExtractMinutes"	"Minutes"	"Type"
15	"PAKEHA"	"Woman"	"45-49"	"FORMER UNIVERSITY PROFESSOR"	"BMUS"	"ENGLISH"	"DGI085"	"JM"	2122	2318	"20/8/91 "	"DIRECTIONS"	30	13	"BroadcastInterview"
16	"PAKEHA"	"Woman"	"40-44"	"TRAINING & DEVT MANAGER"	"MASTER BUS STUDIES"	"ENGLISH"	"DGI038"	"IK"	301	2231	"4/5/91 "	"EARLY NZ AGRIC"	28	13	"BroadcastInterview"
16	"PAKEHA"	"Woman"	"40-44"	"TRAINING & DEVT MANAGER"	"MASTER BUS STUDIES"	"ENGLISH"	"DGI070"	"IK"	347	2309	"10/8/91 "	"SUPERANNUATION"	22	13	"BroadcastInterview"
16	"PAKEHA"	"Woman"	"40-44"	"TRAINING & DEVT MANAGER"	"MASTER BUS STUDIES"	"ENGLISH"	"DGI071"	"IK"	203	2311	"17/8/91 "	"PRIVACY ISSUES"	26	15	"BroadcastInterview"
17	"PAKEHA"	"Man"	"50-54"	"DOCUMENTARY PRODUCER"	"BA"	""	"DGB009"	"HJ"	506	2526	"5/8/90 "	"BUYING & SELLING ALSO DGB028"	30	14	"RadioTalkback"
17	"PAKEHA"	"Man"	"50-54"	"DOCUMENTARY PRODUCER"	"BA"	""	"DGI098"	"IJ"	136	2303	"17/11/91 "	"SPECTRUM"	20	14	"BroadcastInterview"
17	"PAKEHA"	"Man"	"50-54"	"DOCUMENTARY PRODUCER"	"BA"	""	"DGI087"	"IJ"	447	2020	"30/6/91 "	"SPECTRUM"	12	11	"BroadcastInterview"
17	"PAKEHA"	"Man"	"50-54"	"DOCUMENTARY PRODUCER"	"BA"	""	"DGI089"	"IJ"	296	2158	"29/9/91 "	"SPECTRUM"	12	12	"BroadcastInterview"
17	"PAKEHA"	"Man"	"50-54"	"DOCUMENTARY PRODUCER"	"BA"	""	"DGB028"	"HJ"	715	2658	"5/8/90 "	"BUYING & SELLING CONT. DGB009"	30	14	"RadioTalkback"
17	"PAKEHA"	"Man"	"50-54"	"DOCUMENTARY PRODUCER"	"BA"	""	"DGI133"	"IJ"	481	2439	"1/1/92 "	"SPECTRUM - STEWART ISLAND"	18	13	"BroadcastInterview"
17	"PAKEHA"	"Man"	"50-54"	"DOCUMENTARY PRODUCER"	"BA"	""	"DGI135"	"IJ"	255	2742	"1/6/91 "	"A SOUTHLANDER IN VIETNAM"	30	15	"BroadcastInterview"
17	"PAKEHA"	"Man"	"50-54"	"DOCUMENTARY PRODUCER"	"BA"	""	"DGI136"	"IJ"	367	2332	"1/3/92 "	"SPECTRUM - \"PLAIN SAILING\""	12	12	"BroadcastInterview"
19	"PAKEHA"	"Woman"	"45-49"	"SENIOR LECTURER"	"PHD"	"ENGLISH"	"DGI038"	"HL"	1930	2231	"4/5/91 "	"EARLY NZ AGRIC"	28	13	"BroadcastInterview"
25	"PAKEHA"	"Woman"	"85-89"	""	"SIXTH FORM"	"ENGLISH"	"DGI098"	"PW"	2167	2303	"17/11/91 "	"SPECTRUM"	20	14	"BroadcastInterview"
28	"PAKEHA"	"Man"	"35-39"	"BROADCASTER"	"LLB"	"ENGLISH"	"MSN020"	"NB"	804	858	"5/5/91 "	"9AM NEWS"	7	6	"BroadcastNews"
46	"PAKEHA"	"Woman"	"65-69"	""	"HLC"	"ENGLISH"	"DPC002"	"MK"	1258	2057	"18/9/90 "	"MOTHER AND DAUGHTER TALKING"	30	10	"Conversation"
46	"PAKEHA"	"Woman"	"65-69"	""	"HLC"	"ENGLISH"	"DPC140"	"MT"	1157	2013	"18/9/90 "	"CONVERSATION"	30	9	"Conversation"
46	"PAKEHA"	"Woman"	"65-69"	""	"HLC"	"ENGLISH"	"DPF039"	"SS"	1072	1991	"13/3/93 "	"DAILY CHAT"	14	8	"TelephoneConversation"
46	"PAKEHA"	"Woman"	"65-69"	""	"HLC"	"ENGLISH"	"DPF057"	"MT"	1417	2230	"7/3/93 "	"LAWNMOWING AND GENERAL CHAT"	15	11	"TelephoneConversation"
47	"PAKEHA"	"Woman"	"35-39"	"LECTURER"	"BA HONS"	"ENGLISH"	"DPP005"	"IW"	706	2658	"26/9/90 "	"SOCIAL DIALECT INTERVIEW"	100	15	"SocialDialectInterview"
47	"PAKEHA"	"Woman"	"35-39"	"LECTURER"	"BA HONS"	"ENGLISH"	"DPC002"	"DS"	799	2057	"18/9/90 "	"MOTHER AND DAUGHTER TALKING"	30	10	"Conversation"
47	"PAKEHA"	"Woman"	"35-39"	"LECTURER"	"BA HONS"	"ENGLISH"	"DPC140"	"DR"	856	2013	"18/9/90 "	"CONVERSATION"	30	9	"Conversation"
47	"PAKEHA"	"Woman"	"35-39"	"LECTURER"	"BA HONS"	"ENGLISH"	"DPF036"	"NL"	1066	2262	"10/3/93 "	"FLATS"	16	16	"TelephoneConversation"
47	"PAKEHA"	"Woman"	"35-39"	"LECTURER"	"BA HONS"	"ENGLISH"	"DPF039"	"NL"	919	1991	"13/3/93 "	"DAILY CHAT"	14	8	"TelephoneConversation"
47	"PAKEHA"	"Woman"	"35-39"	"LECTURER"	"BA HONS"	"ENGLISH"	"DPF057"	"DG"	813	2230	"7/3/93 "	"LAWNMOWING AND GENERAL CHAT"	15	11	"TelephoneConversation"
47	"PAKEHA"	"Woman"	"35-39"	"LECTURER"	"BA HONS"	"ENGLISH"	"DPC281"	"WD"	286	2031	"15/11/93 "	"CONVERSATION OVER DINNER"	23	18	"Conversation"
47	"PAKEHA"	"Woman"	"35-39"	"LECTURER"	"BA HONS"	"ENGLISH"	"DPC285"	"WD"	197	2073	"21/11/93 "	"CONVERSATION"	30	13	"Conversation"
48	"PAKEHA"	"Woman"	"45-49"	"SENIOR SYSTEMS ANALYST"	"BA"	"ENGLISH"	"DPC003"	"FG"	918	2143	"10/5/90 "	"GOLF, TRAVEL, CORPUS ETC."	90	13	"Conversation"
48	"PAKEHA"	"Woman"	"45-49"	"SENIOR SYSTEMS ANALYST"	"BA"	"ENGLISH"	"DPC181"	"FG"	1409	2487	"10/5/90 "	"GOLF, TRAVEL, CORPUS ETC."	90	15	"Conversation"
48	"PAKEHA"	"Woman"	"45-49"	"SENIOR SYSTEMS ANALYST"	"BA"	"ENGLISH"	"DPC182"	"FG"	506	2560	"10/5/90 "	"GOLF, TRAVEL, CORPUS ETC."	90	15	"Conversation"
49	"PAKEHA"	"Man"	"45-49"	""	"BA HONS"	"ENGLISH"	"DPC003"	"MJ"	576	2143	"10/5/90 "	"GOLF, TRAVEL, CORPUS ETC."	90	13	"Conversation"
49	"PAKEHA"	"Man"	"45-49"	""	"BA HONS"	"ENGLISH"	"DPC181"	"MJ"	385	2487	"10/5/90 "	"GOLF, TRAVEL, CORPUS ETC."	90	15	"Conversation"
49	"PAKEHA"	"Man"	"45-49"	""	"BA HONS"	"ENGLISH"	"DPC182"	"MJ"	229	2560	"10/5/90 "	"GOLF, TRAVEL, CORPUS ETC."	90	15	"Conversation"
50	"MAORI"	"Woman"	"65-69"	""	"FORM 5"	"MAORI"	"DPC004"	"IB"	575	2145	"22/11/90 "	"KAUMATUA FLATS TE KAO CONV."	120	12	"Conversation"
51	"MAORI"	"Woman"	"65-69"	"FACTORY WORK CANNING"	"FORM 2"	"MAORI"	"DPC004"	"WE"	649	2145	"22/11/90 "	"KAUMATUA FLATS TE KAO CONV."	120	12	"Conversation"
53	"MAORI"	"Woman"	"75-79"	""	"6TH FORM MAORI"	"MAORI"	"DPC004"	"NM"	105	2145	"22/11/90 "	"KAUMATUA FLATS TE KAO CONV."	120	12	"Conversation"
54	"MAORI"	"Woman"	"65-69"	""	"FORM 2"	"MAORI"	"DPC004"	"SS"	13	2145	"22/11/90 "	"KAUMATUA FLATS TE KAO CONV."	120	12	"Conversation"
55	"PAKEHA"	"Man"	"30-34"	"REGISTERED ENGINEER"	"PHD"	"ENGLISH"	"DPC008"	"HH"	644	2040	"8/9/90 "	"DINNER CONVERSATION"	30	16	"Conversation"
56	"PAKEHA"	"Woman"	"25-29"	"MORTGAGE ADMINISTRATOR"	"MSC"	"ENGLISH"	"DPC008"	"KK"	685	2040	"8/9/90 "	"DINNER CONVERSATION"	30	16	"Conversation"
57	"PAKEHA"	"Woman"	"25-29"	""	"BA"	"ENGLISH"	"DPC008"	"AN"	711	2040	"8/9/90 "	"DINNER CONVERSATION"	30	16	"Conversation"
58	"PAKEHA"	"Man"	"20-24"	""	"BA"	"ENGLISH"	"DPC010"	"BN"	1207	2024	"21/8/90 "	"WRITING PROCESSES - B. STEEDS"	18	11	"Conversation"
60	"PAKEHA"	"Man"	"45-49"	"SENIOR MANAGER TAXATION"	"ACA"	"ENGLISH"	"DPC014"	"MK"	576	2005	"11/5/91 "	"BREAKFAST CONVERSATION"	30	15	"Conversation"
61	"PAKEHA"	"Man"	"20-24"	""	"BA BSC"	"ENGLISH"	"DPC014"	"DV"	940	2005	"11/5/91 "	"BREAKFAST CONVERSATION"	30	15	"Conversation"
61	"PAKEHA"	"Man"	"20-24"	""	"BA BSC"	"ENGLISH"	"DPC009"	"SG"	839	2086	"25/6/91 "	"SYNTAX DISCUSSION - STUDENTS"	120	15	"Conversation"
62	"PAKEHA"	"Woman"	"45-49"	"SCHOOL SECRETARY"	"SC"	"ENGLISH"	"DPC014"	"FR"	489	2005	"11/5/91 "	"BREAKFAST CONVERSATION"	30	15	"Conversation"
65	"PAKEHA"	"Man"	"35-39"	"PARLIAMENTARY PRIVATE SECRETARY"	"BA HONS"	"ENGLISH"	"DPC131"	"AI"	853	2136	"19/5/90 "	"CONVERSATION"	60	12	"Conversation"
66	"DUTCH"	"Woman"	"30-34"	"FORMER TEACHER"	"MA"	"DUTCH"	"DPC131"	"GB"	265	2136	"19/5/90 "	"CONVERSATION"	60	12	"Conversation"
66	"DUTCH"	"Woman"	"30-34"	"FORMER TEACHER"	"MA"	"DUTCH"	"DGZ062"	"KA"	850	2336	"29/6/93 "	"MEETING EDUCATION INFORMAL"	60	10	"TransactionsAndMeetings"
67	"PAKEHA"	"Woman"	"35-39"	"SOCIAL SCIENTIST"	"PHD"	"ENGLISH"	"DPC131"	"CF"	189	2136	"19/5/90 "	"CONVERSATION"	60	12	"Conversation"
68	"PAKEHA"	"Woman"	"30-34"	"POLICY ANALYST"	"MA HONS"	"ENGLISH"	"DPC131"	"DP"	829	2136	"19/5/90 "	"CONVERSATION"	60	12	"Conversation"
69	"PAKEHA"	"Woman"	"25-29"	""	"MA"	"ENGLISH"	"DPC010"	"MJ"	817	2024	"21/8/90 "	"WRITING PROCESSES - B. STEEDS"	18	11	"Conversation"
77	"PAKEHA"	"Woman"	"65-69"	""	"UE LTCL"	"ENGLISH"	"DPC022"	"FE"	1472	2333	"25/7/91 "	"CONVERSATION"	22	11	"Conversation"
78	"PAKEHA"	"Man"	"65-69"	""	"5 YEARS SECONDARY"	"ENGLISH"	"DPC022"	"MJ"	500	2333	"25/7/91 "	"CONVERSATION"	22	11	"Conversation"
79	"PAKEHA"	"Woman"	"25-29"	"INFO SERVICES CONSULTANT"	"UE, NZ LIBRARY CERT"	"ENGLISH"	"DPC022"	"PL"	361	2333	"25/7/91 "	"CONVERSATION"	22	11	"Conversation"
80	"PAKEHA"	"Woman"	"20-24"	"STUDENT"	"SFC"	"ENGLISH"	"DPC023"	"FI"	1267	2386	"22/7/91 "	"CONVERSATION"	19	12	"Conversation"
81	"PAKEHA"	"Man"	"16-19"	"PAYROLL OFFICER"	"HSC"	"ENGLISH"	"DPC023"	"MD"	1119	2386	"22/7/91 "	"CONVERSATION"	19	12	"Conversation"
82	"PAKEHA"	"Woman"	"30-34"	"MIDWIFE"	"NURSING REGISTRATION"	"ENGLISH"	"DPC024"	"TS"	1193	2390	"21/7/91 "	"CONVERSATION"	25	10	"Conversation"
82	"PAKEHA"	"Woman"	"30-34"	"MIDWIFE"	"NURSING REGISTRATION"	"ENGLISH"	"DPC118"	"TS"	750	2214	"21/7/91 "	"CONVERSATION"	30	10	"Conversation"
83	"PAKEHA"	"Woman"	"30-34"	""	"UE / NURSING DIPLOMA"	"ENGLISH"	"DPC024"	"KA"	792	2390	"21/7/91 "	"CONVERSATION"	25	10	"Conversation"
83	"PAKEHA"	"Woman"	"30-34"	""	"UE / NURSING DIPLOMA"	"ENGLISH"	"DPC075"	"TR"	870	2234	"2/1/92 "	"DINNER CONVERSATION"	30	11	"Conversation"
83	"PAKEHA"	"Woman"	"30-34"	""	"UE / NURSING DIPLOMA"	"ENGLISH"	"DPC118"	"KA"	1044	2214	"21/7/91 "	"CONVERSATION"	30	10	"Conversation"
84	"PAKEHA"	"Woman"	"30-34"	"JOURNALIST"	"7TH FORM CERT"	"ENGLISH"	"DPC024"	"LU"	405	2390	"21/7/91 "	"CONVERSATION"	25	10	"Conversation"
84	"PAKEHA"	"Woman"	"30-34"	"JOURNALIST"	"7TH FORM CERT"	"ENGLISH"	"DPC075"	"FN"	1009	2234	"2/1/92 "	"DINNER CONVERSATION"	30	11	"Conversation"
84	"PAKEHA"	"Woman"	"30-34"	"JOURNALIST"	"7TH FORM CERT"	"ENGLISH"	"DPC118"	"LU"	420	2214	"21/7/91 "	"CONVERSATION"	30	10	"Conversation"
85	"PAKEHA"	"Woman"	"20-24"	"P/T SECRETARY/STUDENT"	"BA"	"ENGLISH"	"DPC025"	"TR"	1316	2037	"21/7/91 "	"MOTHER DAUGHTER CONVERSATION"	30	14	"Conversation"
86	"PAKEHA"	"Woman"	"40-44"	"CURTAIN CONSULTANT"	"NONE"	"ENGLISH"	"DPC025"	"BA"	721	2037	"21/7/91 "	"MOTHER DAUGHTER CONVERSATION"	30	14	"Conversation"
87	"PAKEHA"	"Woman"	"20-24"	"P/T SHOP ASSISTANT"	"BCA"	"ENGLISH"	"DPF008"	"AP"	1341	2155	"1/8/91 "	"EMPLOYER VISITS AND PARTY"	25	12	"TelephoneConversation"
88	"PAKEHA"	"Woman"	"20-24"	""	"BCA"	"ENGLISH"	"DPF008"	"BR"	814	2155	"1/8/91 "	"EMPLOYER VISITS AND PARTY"	25	12	"TelephoneConversation"
91	"PAKEHA"	"Woman"	"20-24"	"NANNY"	"SFC"	"ENGLISH"	"DPC028"	"AD"	1285	2046	"21/7/91 "	"GENERAL CONVERSATION"	23	11	"Conversation"
92	"PAKEHA"	"Woman"	"20-24"	"CLERICAL/PIANO TEACHING"	"BMUS (HONS)"	"ENGLISH"	"DPC028"	"BF"	761	2046	"21/7/91 "	"GENERAL CONVERSATION"	23	11	"Conversation"
96	"PAKEHA"	"Man"	"20-24"	"BANK OFFICER"	"SC"	"ENGLISH"	"DPC030"	"AS"	737	2058	"24/7/91 "	"SKIING, CARS GEN CONVERSATION"	25	10	"Conversation"
97	"PAKEHA"	"Man"	"20-24"	"COMPUTER PROGRAMMER"	"NCBC (BUSINESS COMPUTING)"	"ENGLISH"	"DPC030"	"GG"	1155	2058	"24/7/91 "	"SKIING, CARS GEN CONVERSATION"	25	10	"Conversation"
98	"PAKEHA"	"Woman"	"20-24"	""	"UE"	"ENGLISH"	"DPC064"	"FN"	880	2140	"8/9/91 "	"CONVERSATION M AND F"	30	12	"Conversation"
101	"PAKEHA"	"Man"	"25-29"	"PUBLIC SERVANT"	"BCOM (HONS)"	"ENGLISH"	"DPC032"	"AW"	1603	2091	"19/7/91 "	"FRIENDS TALK ABOUT HORSERACING"	15	11	"Conversation"
102	"PAKEHA"	"Man"	"25-29"	"STATISTICS OFFICER"	"BCOM"	"ENGLISH"	"DPC032"	"BH"	488	2091	"19/7/91 "	"FRIENDS TALK ABOUT HORSERACING"	15	11	"Conversation"
103	"PAKEHA"	"Woman"	"90+"	""	"PROFICIENCY, FTCL"	"ENGLISH"	"DPC033"	"FD"	1909	2129	"23/7/91 "	"GREAT AUNT & GRAND NEPHEW TALK"	10	9	"Conversation"
104	"PAKEHA"	"Man"	"20-24"	"COMPUTER PROGRAMMER/ANALYST"	"BACHELOR DEGREE"	"ENGLISH"	"DPC033"	"MG"	220	2129	"23/7/91 "	"GREAT AUNT & GRAND NEPHEW TALK"	10	9	"Conversation"
109	"MAORI/PAKEHA"	"Woman"	"20-24"	"SALES CONSULTANT"	"SCHOOL"	"ENGLISH"	"DPC036"	"AN"	1255	2105	"22/7/91 "	"2 YOUNG F DISCUSS WORK/FRIENDS"	21	10	"Conversation"
109	"MAORI/PAKEHA"	"Woman"	"20-24"	"SALES CONSULTANT"	"SCHOOL"	"ENGLISH"	"DPC119"	"AN"	957	2017	"22/7/91 "	"CONVERSATION"	21	10	"Conversation"
110	"MAORI/GERMAN"	"Woman"	"20-24"	""	"DIP PHARMACY"	"ENGLISH"	"DPC036"	"KI"	850	2105	"22/7/91 "	"2 YOUNG F DISCUSS WORK/FRIENDS"	21	10	"Conversation"
110	"MAORI/GERMAN"	"Woman"	"20-24"	""	"DIP PHARMACY"	"ENGLISH"	"DPC119"	"KI"	1060	2017	"22/7/91 "	"CONVERSATION"	21	10	"Conversation"
111	"PAKEHA"	"Woman"	"16-19"	"STUDENT"	"BA"	"ENGLISH"	"DPC037"	"BD"	1302	2087	"16/7/91 "	"SISTERS TALKING"	11	9	"Conversation"
112	"PAKEHA"	"Woman"	"25-29"	"BANK OFFICER"	"NZCS"	"ENGLISH"	"DPC037"	"KT"	785	2087	"16/7/91 "	"SISTERS TALKING"	11	9	"Conversation"
117	"PAKEHA"	"Woman"	"35-39"	"DEPUTY PRINCIPAL"	"TTC"	"ENGLISH"	"DPC040"	"KA"	1002	2046	"13/7/91 "	"FRIENDS TALKING"	16	9	"Conversation"
118	"PAKEHA"	"Woman"	"30-34"	""	"SC"	"ENGLISH"	"DPC040"	"MK"	891	2046	"13/7/91 "	"FRIENDS TALKING"	16	9	"Conversation"
119	"GREEK"	"Woman"	"30-34"	"TEACHER MUSIC AND DRAMA"	"UE"	"ENGLISH"	"DPC041"	"FR"	984	2317	"13/7/91 "	""	30	16	"Conversation"
120	"PAKEHA"	"Man"	"35-39"	"CHARITY WORKER"	"BA"	"ENGLISH"	"DPC041"	"JM"	1333	2317	"13/7/91 "	""	30	16	"Conversation"
121	"PAKEHA"	"Man"	"55-59"	"AGRIBUSINESS CONSULTANT"	"UNI POSTGRAD DIP"	"ENGLISH"	"DPC042"	"AN"	489	2496	"23/7/91 "	"CONVERSATION 5 PEOPLE"	14	14	"Conversation"
122	"PAKEHA"	"Woman"	"40-44"	"ACCOUNT EXECUTIVE"	"TTC"	"ENGLISH"	"DPC042"	"BT"	635	2496	"23/7/91 "	"CONVERSATION 5 PEOPLE"	14	14	"Conversation"
123	"PAKEHA"	"Woman"	"20-24"	"CONFERENCE ORGANISATION"	"DIP HOTEL & CATERING"	"ENGLISH"	"DPC042"	"CH"	307	2496	"23/7/91 "	"CONVERSATION 5 PEOPLE"	14	14	"Conversation"
124	"PAKEHA"	"Man"	"40-44"	"COMPANY DIRECTOR"	"UE"	"ENGLISH"	"DPC042"	"DV"	542	2496	"23/7/91 "	"CONVERSATION 5 PEOPLE"	14	14	"Conversation"
125	"PAKEHA"	"Man"	"40-44"	"COMPANY DIRECTOR"	"M AG SCI"	"ENGLISH"	"DPC042"	"EL"	523	2496	"23/7/91 "	"CONVERSATION 5 PEOPLE"	14	14	"Conversation"
126	"PAKEHA"	"Man"	"16-19"	"SCHOOL STUDENT"	"SFC"	"ENGLISH"	"DPC073"	"TM"	561	2004	"3/3/92 "	""	30	13	"Conversation"
126	"PAKEHA"	"Man"	"16-19"	"SCHOOL STUDENT"	"SFC"	"ENGLISH"	"DPC043"	"KV"	1314	2152	"25/7/91 "	"CONVERSATION 2 YOUNG PM"	30	13	"Conversation"
126	"PAKEHA"	"Man"	"16-19"	"SCHOOL STUDENT"	"SFC"	"ENGLISH"	"DPC130"	"TM"	922	2057	"3/3/92 "	"CONVERSATION"	30	20	"Conversation"
127	"PAKEHA"	"Man"	"20-24"	"STUDENT/DATA ENTRY"	"BURSARY"	"ENGLISH"	"DPC069"	"JM"	129	2248	"13/1/92 "	"EVENING INFORMAL CONVERSATION"	30	10	"Conversation"
127	"PAKEHA"	"Man"	"20-24"	"STUDENT/DATA ENTRY"	"BURSARY"	"ENGLISH"	"DPC073"	"MG"	542	2004	"3/3/92 "	""	30	13	"Conversation"
127	"PAKEHA"	"Man"	"20-24"	"STUDENT/DATA ENTRY"	"BURSARY"	"ENGLISH"	"DPC068"	"JM"	382	2037	"13/1/92 "	"EVENING INFORMAL CONVERSATION"	30	11	"Conversation"
127	"PAKEHA"	"Man"	"20-24"	"STUDENT/DATA ENTRY"	"BURSARY"	"ENGLISH"	"DPC043"	"PT"	838	2152	"25/7/91 "	"CONVERSATION 2 YOUNG PM"	30	13	"Conversation"
127	"PAKEHA"	"Man"	"20-24"	"STUDENT/DATA ENTRY"	"BURSARY"	"ENGLISH"	"DPC130"	"MG"	973	2057	"3/3/92 "	"CONVERSATION"	30	20	"Conversation"
131	"PAKEHA"	"Man"	"20-24"	""	"BURSARY"	"ENGLISH"	"DPC045"	"AG"	1386	2101	"25/7/91 "	"LOOKING AT PHOTOS"	30	12	"Conversation"
132	"PAKEHA"	"Woman"	"20-24"	"P/T RESEARCHER"	"HSC"	"ENGLISH"	"DPC045"	"BA"	715	2101	"25/7/91 "	"LOOKING AT PHOTOS"	30	12	"Conversation"
133	"MAORI"	"Woman"	"60-64"	""	"FORM 3"	"MAORI"	"DPC004"	"ED"	193	2145	"22/11/90 "	"KAUMATUA FLATS TE KAO CONV."	120	12	"Conversation"
135	"PAKEHA"	"Woman"	"40-44"	"RESEARCH FELLOW"	"PHD"	"ENGLISH"	"DPC003"	"RW"	649	2143	"10/5/90 "	"GOLF, TRAVEL, CORPUS ETC."	90	13	"Conversation"
135	"PAKEHA"	"Woman"	"40-44"	"RESEARCH FELLOW"	"PHD"	"ENGLISH"	"DPC004"	"BH"	610	2145	"22/11/90 "	"KAUMATUA FLATS TE KAO CONV."	120	12	"Conversation"
135	"PAKEHA"	"Woman"	"40-44"	"RESEARCH FELLOW"	"PHD"	"ENGLISH"	"DPC060"	"WC"	371	2050	"23/9/91 "	"REMINISCENCES ABOUT SCHOOLING"	30	10	"Conversation"
135	"PAKEHA"	"Woman"	"40-44"	"RESEARCH FELLOW"	"PHD"	"ENGLISH"	"DPC181"	"RW"	693	2487	"10/5/90 "	"GOLF, TRAVEL, CORPUS ETC."	90	15	"Conversation"
135	"PAKEHA"	"Woman"	"40-44"	"RESEARCH FELLOW"	"PHD"	"ENGLISH"	"DPC182"	"RW"	1825	2560	"10/5/90 "	"GOLF, TRAVEL, CORPUS ETC."	90	15	"Conversation"
136	"PAKEHA"	"Woman"	"55-59"	"SECRETARY STOUT RESEARCH"	"COMMERCIAL EXAM JP"	"ENGLISH"	"DPC060"	"VV"	516	2050	"23/9/91 "	"REMINISCENCES ABOUT SCHOOLING"	30	10	"Conversation"
137	"PAKEHA"	"Woman"	"55-59"	""	"TTC"	"ENGLISH"	"DPC060"	"JM"	1163	2050	"23/9/91 "	"REMINISCENCES ABOUT SCHOOLING"	30	10	"Conversation"
138	"PAKEHA"	"Woman"	"50-54"	"SOLE TRADER"	"UE"	"ENGLISH"	"DPC061"	"AN"	1144	2004	"30/7/91 "	"WORK AND GENERAL CONVERSATION"	30	17	"Conversation"
138	"PAKEHA"	"Woman"	"50-54"	"SOLE TRADER"	"UE"	"ENGLISH"	"DGZ088"	"B"	762	1868	"2/11/94 "	"DESIGN OF STAINED GLASS WINDOW"	16	13	"TransactionsAndMeetings"
140	"PAKEHA"	"Woman"	"20-24"	""	"TRADE CERT"	"ENGLISH"	"DPC062"	"AL"	1122	2076	"4/10/91 "	"DINNER CONVERSATION"	60	10	"Conversation"
141	"MAORI/PAKEHA"	"Man"	"25-29"	""	"SC"	"ENGLISH"	"DPC062"	"CH"	145	2076	"4/10/91 "	"DINNER CONVERSATION"	60	10	"Conversation"
142	"PAKEHA"	"Man"	"25-29"	"ACTUARIAL ANALYST"	"BSC"	"ENGLISH"	"DPC062"	"BR"	544	2076	"4/10/91 "	"DINNER CONVERSATION"	60	10	"Conversation"
143	"PAKEHA"	"Woman"	"20-24"	"STUDENT/TCHING FELLOW"	"BA (LATER BA HONS)"	"ENGLISH"	"DPC062"	"DV"	265	2076	"4/10/91 "	"DINNER CONVERSATION"	60	10	"Conversation"
143	"PAKEHA"	"Woman"	"20-24"	"STUDENT/TCHING FELLOW"	"BA (LATER BA HONS)"	"ENGLISH"	"DPC070"	"SA"	88	2012	"29/7/91 "	"FLATMATES - CONVERSATION"	30	11	"Conversation"
143	"PAKEHA"	"Woman"	"20-24"	"STUDENT/TCHING FELLOW"	"BA (LATER BA HONS)"	"ENGLISH"	"DPC133"	"KJ"	53	2385	"30/10/92 "	"CONVERSATION"	30	15	"Conversation"
143	"PAKEHA"	"Woman"	"20-24"	"STUDENT/TCHING FELLOW"	"BA (LATER BA HONS)"	"ENGLISH"	"DPF014"	"DY"	415	1370	"1/8/92 "	"TELEPHONE MOTHER AND DAUGHTER"	8	8	"TelephoneConversation"
143	"PAKEHA"	"Woman"	"20-24"	"STUDENT/TCHING FELLOW"	"BA (LATER BA HONS)"	"ENGLISH"	"DPF017"	"MJ"	926	1931	"1/8/92 "	"TELEPHONE NEIGHBOURS"	12	10	"TelephoneConversation"
